"group","metabolite"
1,"CNDP1"
1,"PIP"
1,"FUT3"
1,"NUTM2B"
1,"CLIC3"
1,"LINC02481"
1,"FGFR1"
1,"CYB5R1"
1,"BEND5"
1,"TMEM240"
1,"SPTBN2"
1,"SOD3"
1,"DIPK1B"
1,"DSG1"
1,"PIK3R3"
1,"SHF"
1,"MECR"
1,"FRMPD3"
1,"COMTD1"
1,"PYDC2"
1,"EPHA4"
1,"UPP2"
1,"MAB21L4"
1,"TMEM47"
1,"RND1"
1,"WNT5A"
1,"COL3A1"
1,"RAB11FIP4"
1,"SCRN2"
1,"PLK2"
1,"IRX6"
1,"LINC00852"
1,"MGST1"
1,"ASIC1"
1,"TMEM37"
1,"KIF1C"
1,"MARCO"
1,"SLC34A2"
1,"ANKRD35"
1,"HIC1"
1,"ZNF835"
1,"OVOL2"
1,"RSPH1"
1,"IWS1"
1,"ENDOU"
1,"HLA-DMA"
1,"OLFML2B"
1,"PRSS8"
1,"CRISP3"
1,"HOXC6"
1,"LOC105369147"
1,"DYNLT1"
1,"RGL1"
1,"C19orf73"
1,"SLC5A9"
1,"GABRP"
1,"CALR"
1,"ANKMY1"
1,"HLA-DPA1"
1,"PCCA-DT"
1,"PLA2G2F"
1,"LOC102723670"
1,"CYP4Z1"
1,"APOBR"
1,"PMPCA"
1,"KRT77"
1,"MYH14"
1,"PPM1H"
1,"SLC48A1"
1,"LINC01133"
1,"LCN2"
1,"ADCK1"
1,"S100A7"
1,"DEPTOR"
1,"RENBP"
1,"TBX15"
1,"HLA-DRB5"
1,"NSG1"
1,"NCKAP1L"
1,"TCF4"
1,"ZNF814"
1,"HNRNPA3P3"
1,"KCNQ4"
1,"SH3GLB2"
1,"COMMD9"
1,"DHRS12"
1,"CASTOR3P"
1,"SLC25A33"
1,"CYP4F12"
1,"HLA-DRA"
1,"CPNE5"
1,"NEBL"
1,"PSMB10"
1,"MGAT4A"
1,"VSIR"
1,"S100A12"
1,"MED8"
1,"RPTN"
1,"SIGIRR"
1,"FAM114A1"
1,"NOVA1"
1,"PACSIN1"
1,"PIANP"
1,"UBE2Q1"
1,"ABHD11"
1,"SOWAHB"
1,"PROM1"
