"","SYMBOL","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","sig"
"1","MUC4",486.155919515127,3.91456412375411,0.303491053682577,12.8984498101495,4.59242564594579e-38,9.87050044083129e-34,"up"
"2","HLA-DRA",1482.70928081996,2.63675245490113,0.225279391382026,11.7043660262281,1.21060655614962e-31,1.30097833556619e-27,"up"
"3","MAGEA4",246.221348212805,4.110600483096,0.356852087592571,11.5190596496922,1.05758853892449e-30,7.57691682236799e-27,"up"
"4","MAP7D2",87.181893973528,-2.81681609158239,0.247157361419248,-11.3968529013557,4.33508003807432e-30,2.32934688145829e-26,"down"
"5","HLA-DPB1",236.751515551905,2.79085991349221,0.27982216858684,9.97369124678948,1.98703705218346e-23,8.54147747251582e-20,"up"
"6","CYP4X1",177.713479841958,1.76971743681201,0.180598661729586,9.7991724847986,1.13511744660384e-22,3.48529703997946e-19,"up"
"7","HLA-DMA",344.846709799072,2.19767555519574,0.225720892837298,9.7362522696552,2.11200113490924e-22,5.67415504907554e-19,"up"
"8","HLA-DPA1",448.591701391056,2.62844252437161,0.277555713365223,9.46996367865418,2.79941018120392e-21,6.68530255829065e-18,"up"
"9","SLPI",5829.33668950149,2.44948465755396,0.260871254904257,9.3896303694056,6.02111847998905e-21,1.29411899490405e-17,"up"
"10","PSCA",1020.63309998157,2.734093629516,0.292853411790165,9.33604841003192,9.99966383675036e-21,1.95384340766614e-17,"up"
"11","WFDC2",884.752314414608,1.82241712393072,0.195583508638595,9.31784656393619,1.18725401846513e-20,2.12647088490592e-17,"up"
"12","ACTG2",234.396047750607,2.86364470112644,0.311187932705375,9.20229996141162,3.50368682056603e-20,5.7926723718789e-17,"up"
"13","KRT75",940.811874149976,3.29466446794146,0.361138370863919,9.1229975370934,7.30746323724122e-20,1.12185219541447e-16,"up"
"14","FMO3",771.588274216933,3.75554974695786,0.421090134596992,8.91863626905473,4.72065027024422e-19,6.76406241722394e-16,"up"
"15","PI3",22206.9215951499,2.18734999653706,0.245498332901923,8.90983645665288,5.11078962782637e-19,6.8653875919295e-16,"up"
"16","C1R",152.530482394482,1.75042862991971,0.201532456638667,8.68559168639571,3.76775999100559e-18,4.64050552185036e-15,"up"
"17","DDIT4L",108.042391324587,2.26594517668937,0.263877909094552,8.58709690577939,8.91944002320165e-18,1.00897644430881e-14,"up"
"18","WNT11",187.538585345736,2.40365085049776,0.283822130768094,8.46886338282668,2.47799104132441e-17,2.66297307255928e-14,"up"
"19","HLA-DRB5",95.5910562280031,2.32532232742194,0.277564515324963,8.37759223184397,5.40214288196644e-17,5.49648609959786e-14,"up"
"20","HLA-DRB1",424.195572062252,2.50272962867127,0.298911637936689,8.37280758269225,5.62614312525719e-17,5.49648609959786e-14,"up"
"21","CD74",2840.22072196911,3.25181788389237,0.389093760296567,8.35741462781064,6.41076673177171e-17,5.9907221463465e-14,"up"
"22","PLXDC1",114.614953783995,2.88027108512506,0.349126488075008,8.24993572102226,1.5847974601107e-16,1.41925215875663e-13,"up"
"23","BAALC",742.229271618549,2.39908976837107,0.290989227052807,8.24459995536433,1.65713683805477e-16,1.42094761212583e-13,"up"
"24","VSIG2",79.2208186987532,2.67577438962117,0.324783216181155,8.23864736941545,1.74168441202742e-16,1.42094761212583e-13,"up"
"25","MUC20",245.594013370533,3.2814974866446,0.400922907299354,8.18485905120516,2.72622540965227e-16,1.96274184851946e-13,"up"
"26","KRT1",1458.07930548617,3.53427089054208,0.43169767198896,8.18691209118325,2.68013789661446e-16,1.96274184851946e-13,"up"
"27","LOXL1",290.188341912546,2.16186598893441,0.264148921774082,8.18426959464703,2.73960151935903e-16,1.96274184851946e-13,"up"
"28","KRT10",10541.6720475438,2.06759081735655,0.255142477793982,8.10367146714804,5.33249827995074e-16,3.58160579784317e-13,"up"
"29","UNC119B",887.928532305932,-1.53885808152134,0.190288055897307,-8.08699250336456,6.11560292815859e-16,3.98311071923978e-13,"down"
"30","LYPD2",189.854760471629,3.16075867101166,0.393119884279212,8.04019027632481,8.96990768530748e-16,5.6703007611857e-13,"up"
"31","PRR15L",125.319977614884,2.39132541189815,0.304249084620525,7.859762059369,3.84863833832138e-15,2.29774399459837e-12,"up"
