"","SYMBOL","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","sig"
"1","TGM1",392.397538109427,2.59648777956523,0.277912895601704,9.34281143717214,9.38094257801719e-21,1.54879361963064e-16,"up"
"2","MARCKS",2872.31985840339,-0.869527822539205,0.109518441942002,-7.93955617995082,2.02905971269827e-15,1.67498879283242e-11,"none"
"3","DMKN",995.643872739841,2.06357021589477,0.26499639029077,7.78716349166304,6.85302525603186e-15,3.77144823256953e-11,"up"
"4","CRCT1",314.014843611111,1.53586501649538,0.211776609451128,7.25228825069943,4.09788600533797e-13,1.3531219589626e-09,"up"
"5","KRT75",509.320669972514,2.08321491770878,0.28633478666006,7.27545172561235,3.45263146643812e-13,1.3531219589626e-09,"up"
"6","TYMP",1612.9949337859,1.58066642418028,0.221580454585915,7.13360042127449,9.77769129402616e-13,2.69049472107287e-09,"up"
"7","ALPP",106.4904926575,1.92775112112157,0.279656416271574,6.89328407630575,5.45188473424184e-12,1.21513226940318e-08,"up"
"8","KLK5",829.140729140252,1.10544862929001,0.16101406287176,6.86554086999502,6.62397966361518e-12,1.21513226940318e-08,"none"
"9","SBSN",3376.37770423152,2.34832462143234,0.341352817139821,6.8794645994395,6.00779246928023e-12,1.21513226940318e-08,"up"
"10","S100P",1826.48443067494,1.79696720211217,0.268785029162185,6.68551819166938,2.30108932635413e-11,3.79909847781067e-08,"up"
"11","CLIC3",989.893393932189,1.21811334195617,0.183691177004333,6.63131110498268,3.32718133853932e-11,4.99379671811674e-08,"none"
"12","TTK",923.448010646762,-0.778107561074254,0.118068640180301,-6.59029832041781,4.38943691145965e-11,6.0391336173499e-08,"none"
"13","TMEM79",948.165788465661,0.757211610838213,0.115897041209943,6.53348526358454,6.42565190066116e-11,8.16057791383968e-08,"none"
"14","SCNN1D",113.169528955859,1.66628644444353,0.256869633014272,6.48689541418449,8.76231172984902e-11,1.03332690471291e-07,"up"
"15","SNAPC4",1487.45515548318,0.721785597330348,0.11230009081123,6.42729308690967,1.29896226603938e-10,1.3918465720337e-07,"none"
"16","OSBPL7",445.099229884538,1.01605547553557,0.158225655527513,6.42155958936062,1.34885191717378e-10,1.3918465720337e-07,"none"
"17","GINM1",1100.51985079247,-0.673367438705789,0.105062421505857,-6.409213009318,1.46272710947576e-10,1.4205661516144e-07,"none"
"18","FOXN1",188.279950032508,1.05691493305055,0.166677540145561,6.34107590097342,2.28166089370665e-10,2.09279007528316e-07,"none"
"19","PRSS27",199.227037274868,1.76992199255524,0.280092699292266,6.31905792984771,2.63162620542436e-10,2.28674466587138e-07,"up"
"20","MUC4",200.731228919351,2.29951210189973,0.365933902894692,6.28395478994873,3.300667294672e-10,2.59495319214451e-07,"up"
"21","CLDN4",7307.71963692195,0.829116582576278,0.131886230626306,6.28660458820407,3.2448444066842e-10,2.59495319214451e-07,"none"
"22","LCE3D",84.1393155970733,3.15629270461806,0.505085470002778,6.24902693122552,4.13017704825889e-10,3.0677460575342e-07,"up"
"23","SCNN1B",48.2474809637938,2.39881702785496,0.384198602193432,6.2436901492089,4.27366198202826e-10,3.0677460575342e-07,"up"
"24","PTGFR",23.0829828500884,-3.873087336881,0.621675845298171,-6.23007531364416,4.66210994346301e-10,3.07885740666297e-07,"down"
"25","PKD1P6",100.898817372225,1.30886779556992,0.209874746295386,6.23642347959182,4.47688146883121e-10,3.07885740666297e-07,"none"
