"","SYMBOL","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","sig"
"1","TGM1",392.397538109427,2.59648777956523,0.277912895601704,9.34281143717214,9.38094257801719e-21,1.54879361963064e-16,"up"
"2","DMKN",995.643872739841,2.06357021589477,0.26499639029077,7.78716349166304,6.85302525603186e-15,3.77144823256953e-11,"up"
"3","CRCT1",314.014843611111,1.53586501649538,0.211776609451128,7.25228825069943,4.09788600533797e-13,1.3531219589626e-09,"up"
"4","KRT75",509.320669972514,2.08321491770878,0.28633478666006,7.27545172561235,3.45263146643812e-13,1.3531219589626e-09,"up"
"5","TYMP",1612.9949337859,1.58066642418028,0.221580454585915,7.13360042127449,9.77769129402616e-13,2.69049472107287e-09,"up"
"6","ALPP",106.4904926575,1.92775112112157,0.279656416271574,6.89328407630575,5.45188473424184e-12,1.21513226940318e-08,"up"
"7","SBSN",3376.37770423152,2.34832462143234,0.341352817139821,6.8794645994395,6.00779246928023e-12,1.21513226940318e-08,"up"
"8","S100P",1826.48443067494,1.79696720211217,0.268785029162185,6.68551819166938,2.30108932635413e-11,3.79909847781067e-08,"up"
"9","SCNN1D",113.169528955859,1.66628644444353,0.256869633014272,6.48689541418449,8.76231172984902e-11,1.03332690471291e-07,"up"
"10","PRSS27",199.227037274868,1.76992199255524,0.280092699292266,6.31905792984771,2.63162620542436e-10,2.28674466587138e-07,"up"
"11","MUC4",200.731228919351,2.29951210189973,0.365933902894692,6.28395478994873,3.300667294672e-10,2.59495319214451e-07,"up"
"12","LCE3D",84.1393155970733,3.15629270461806,0.505085470002778,6.24902693122552,4.13017704825889e-10,3.0677460575342e-07,"up"
"13","SCNN1B",48.2474809637938,2.39881702785496,0.384198602193432,6.2436901492089,4.27366198202826e-10,3.0677460575342e-07,"up"
"14","PTGFR",23.0829828500884,-3.873087336881,0.621675845298171,-6.23007531364416,4.66210994346301e-10,3.07885740666297e-07,"down"
"15","CCL5",46.4832744149276,3.28507657226937,0.539217584486351,6.09230237808116,1.1129819944391e-09,6.33632163041021e-07,"up"
"16","LINC02751",18.400158931919,3.64737703497663,0.607097497776407,6.00789337517571,1.87949372966545e-09,9.69701296149266e-07,"up"
"17","KRT78",120.612245889921,1.63722453247547,0.274040757053496,5.97438333654823,2.30962142795531e-09,1.03059053447411e-06,"up"
"18","CYSRT1",236.392678453541,1.67664788266978,0.282464848447376,5.93577534297034,2.92460046622917e-09,1.23808086403702e-06,"up"
"19","CYP4F22",51.1134386855798,2.55449763005457,0.433867048740439,5.88774288683722,3.91505554595796e-09,1.57652602594551e-06,"up"
"20","SYBU",59.3970120241255,1.78787671753399,0.304156235606387,5.87815243691966,4.14870793394471e-09,1.6308373330816e-06,"up"
"21","RIPK3",29.9869386429479,2.06707750672855,0.352705195142802,5.86063810568947,4.61091871435628e-09,1.77037832497726e-06,"up"
"22","MUC20",109.289485435715,1.70562749317637,0.294291857635003,5.79570059084605,6.80365521233164e-09,2.38996484160841e-06,"up"
"23","MAGEA4",664.403563032967,5.42604638767421,0.935743642139022,5.79864627802416,6.68523747901367e-09,2.38996484160841e-06,"up"
"24","KRT34",27.0087860680975,2.25001691943188,0.390660744931456,5.75951627754833,8.43553249114699e-09,2.78541282857673e-06,"up"
"25","GRHL3",214.835023105129,1.63310275885216,0.288324810159984,5.66410763591935,1.47791619070356e-08,4.18549707951672e-06,"up"
